放送局名（認識用）,放送局名（設定用）,略称,サービスID
ＮＨＫＢＳ１,,BS1,101
ＮＨＫＢＳプレミアム,,BSP,103
ＢＳ日テレ,,BS4,141
ＢＳ朝日,,BSA,151
ＢＳ－ＴＢＳ,,BS-TBS,161
ＢＳテレ東,,BS7,171
ＢＳフジ,,BS-FUJI,181
ＷＯＷＯＷプライム,,WOWOWP,191
ＷＯＷＯＷライブ,,WOWOWL,192
ＷＯＷＯＷシネマ,,WOWOWC,193
スターチャンネル１,,STAR1,200
スターチャンネル２,,STAR2,201
スターチャンネル３,,STAR3,202
ＢＳ１１イレブン,,BS11,211
ＢＳ１２トゥエルビ,,WHC,222
ＢＳアニマックス,,ANIMAX,236
ファミリー劇場,,FAMILYHD,293
ＴＢＳチャンネル１,,CSTBS1,296
ＴＢＳチャンネル２,,CSTBS2,297
テレ朝チャンネル１,,CSTVASA1,298
テレ朝チャンネル２,,CSTVASA2,299
日テレプラス,,CSNTV,300
フジテレビＯＮＥ,,CSFUJI1,307
フジテレビＴＷＯ,,CSFUJI2,308
フジテレビＮＥＸＴ,,CSFUJIN,309
キッズステーション,,KIDS,330
ＡＴ－Ｘ,,AT-X,333
ＮＨＫ総合・東京,,NHK-G,1024
ＮＨＫＥテレ東京,,NHK-E,1032
日テレ,,NTV,1040
ＴＢＳ,,TBS,1048
フジテレビ,,CX,1056
テレビ朝日,,EX,1064
テレビ東京,,TX,1072
ＮＨＫＥテレ大阪,,NHK-E,2056
ＭＢＳ毎日放送,,MBS,2064
ＡＢＣテレビ,,ABC,2072
関西テレビ,,KTV,2080
読売テレビ,,YTV,2088
ＮＨＫＥテレ名古屋,,NHK-E,3080
東海テレビ,,THK,3088
ＣＢＣ,,CBC,3096
メ～テレ,,NBN,3104
中京テレビ,,CTV,3112
ＨＢＣ北海道放送,,HBC,4112
ＳＴＶ札幌テレビ,,STV,4120
ＨＴＢ北海道テレビ,,HTB,4128
ＵＨＢ,,UHB,4136
ＴＶＨ,,TVH,4144
ＲＮＣ西日本テレビ,,RNC,5136
ＫＳＢ瀬戸内海放送,,KSB,5144
ＲＳＫテレビ,,RSK,5152
ＴＳＣテレビせとうち,,TSC,5160
ＯＨＫテレビ,,OHK,5168
山陰中央テレビ,,TSK,6160
ＢＳＳテレビ,,BSS,6168
日本海テレビ,,NKT,6176
ＮＨＫ総合・札幌,,NHK-G,10240
ＮＨＫＥテレ札幌,,NHK-E,10248
ＨＢＣ札幌,,HBC,10256
ＳＴＶ札幌,,STV,10264
ＨＴＢ札幌,,HTB,10272
ＵＨＢ札幌,,UHB,10280
ＴＶＨ札幌,,TVH,10288
ＮＨＫ総合・函館,,NHK-G,11264
ＮＨＫＥテレ函館,,NHK-E,11272
ＨＢＣ函館,,HBC,11280
ＳＴＶ函館,,STV,11288
ＨＴＢ函館,,HTB,11296
ＵＨＢ函館,,UHB,11304
ＴＶＨ函館,,TVH,11312
ＮＨＫ総合・旭川,,NHK-G,12288
ＮＨＫＥテレ旭川,,NHK-E,12296
ＨＢＣ旭川,,HBC,12304
ＳＴＶ旭川,,STV,12312
ＨＴＢ旭川,,HTB,12320
ＵＨＢ旭川,,UHB,12328
ＴＶＨ旭川,,TVH,12336
ＮＨＫ総合・帯広,,NHK-G,13312
ＮＨＫＥテレ帯広,,NHK-E,13320
ＨＢＣ帯広,,HBC,13328
ＳＴＶ帯広,,STV,13336
ＨＴＢ帯広,,HTB,13344
ＵＨＢ帯広,,UHB,13352
ＴＶＨ帯広,,TVH,13360
ＮＨＫ総合・釧路,,NHK-G,14336
ＮＨＫＥテレ釧路,,NHK-E,14344
ＨＢＣ釧路,,HBC,14352
ＳＴＶ釧路,,STV,14360
ＨＴＢ釧路,,HTB,14368
ＵＨＢ釧路,,UHB,14376
ＴＶＨ釧路,,TVH,14384
ＮＨＫ総合・北見,,NHK-G,15360
ＮＨＫＥテレ北見,,NHK-E,15368
ＨＢＣ北見,,HBC,15376
ＳＴＶ北見,,STV,15384
ＨＴＢ北見,,HTB,15392
ＵＨＢ北見,,UHB,15400
ＴＶＨ北見,,TVH,15408
ＮＨＫ総合・室蘭,,NHK-G,16384
ＮＨＫＥテレ室蘭,,NHK-E,16392
ＨＢＣ室蘭,,HBC,16400
ＳＴＶ室蘭,,STV,16408
ＨＴＢ室蘭,,HTB,16416
ＵＨＢ室蘭,,UHB,16424
ＴＶＨ室蘭,,TVH,16432
ＮＨＫ総合・仙台,,NHK-G,17408
ＮＨＫＥテレ仙台,,NHK-E,17416
ＴＢＣテレビ,,TBC,17424
仙台放送,,OX,17432
ミヤギテレビ,,MMT,17440
ＫＨＢ東日本放送,,KHB,17448
ＮＨＫ総合・秋田,,NHK-G,18432
ＮＨＫＥテレ秋田,,NHK-E,18440
ＡＢＳ秋田放送,,ABS,18448
ＡＫＴ秋田テレビ,,AKT,18456
ＡＡＢ秋田朝日放送,,AAB,18464
ＮＨＫ総合・山形,,NHK-G,19456
ＮＨＫＥテレ山形,,NHK-E,19464
ＹＢＣ山形放送,,YBC,19472
ＹＴＳ山形テレビ,,YTS,19480
テレビユー山形,,TUY,19488
さくらんぼテレビ,,SAY,19496
ＮＨＫ総合・盛岡,,NHK-G,20480
ＮＨＫＥテレ盛岡,,NHK-E,20488
ＩＢＣテレビ,,IBC,20496
テレビ岩手,,TVI,20504
めんこいテレビ,,MIT,20512
岩手朝日テレビ,,IAT,20520
ＮＨＫ総合・福島,,NHK-G,21504
ＮＨＫＥテレ福島,,NHK-E,21512
福島テレビ,,FTV,21520
福島中央テレビ,,FCT,21528
ＫＦＢ福島放送,,KFB,21536
テレビユー福島,,TUF,21544
ＮＨＫ総合・青森,,NHK-G,22528
ＮＨＫＥテレ青森,,NHK-E,22536
ＲＡＢ青森放送,,RAB,22544
ＡＴＶ青森テレビ,,ATV,22552
青森朝日放送,,ABA,22560
ＴＯＫＹＯ ＭＸ,,MX,23608
ｔｖｋ,,TVK,24632
ＮＨＫ総合・前橋,,NHK-G,25600
群馬テレビ,,GTV,25656
ＮＨＫ総合・水戸,,NHK-G,26624
チバテレビ,,CTC,27704
ＮＨＫ総合・宇都宮,,NHK-G,28672
とちぎテレビ,,TTV,28728
テレ玉,,TVS,29752
ＮＨＫ総合・長野,,NHK-G,30720
ＮＨＫＥテレ長野,,NHK-E,30728
テレビ信州,,TSB,30736
ａｂｎ長野朝日放送,,ABN,30744
ＳＢＣ信越放送,,SBC,30752
ＮＢＳ長野放送,,NBS,30760
ＮＨＫ総合・新潟,,NHK-G,31744
ＮＨＫＥテレ新潟,,NHK-E,31752
ＢＳＮ,,BSN,31760
ＮＳＴ,,NST,31768
ＴｅＮＹテレビ新潟,,TeNY,31776
新潟テレビ２１,,NT21,31784
ＮＨＫ総合・甲府,,NHK-G,32768
ＮＨＫＥテレ甲府,,NHK-E,32776
ＹＢＳ山梨放送,,YBS,32784
ＵＴＹ,,UTY,32792
ＮＨＫ総合・名古屋,,NHK-G,33792
テレビ愛知,,TVA,33840
ＮＨＫ総合・金沢,,NHK-G,34816
ＮＨＫＥテレ金沢,,NHK-E,34824
テレビ金沢,,KTK,34832
北陸朝日放送,,HAB,34840
ＭＲＯ,,MRO,34848
石川テレビ,,ITC,34856
ＮＨＫ総合・静岡,,NHK-G,35840
ＮＨＫＥテレ静岡,,NHK-E,35848
ＳＢＳ,,SBS,35856
テレビ静岡,,SUT,35864
だいいちテレビ,,SDT,35872
静岡朝日テレビ,,SATV,35880
ＮＨＫ総合・福井,,NHK-G,36864
ＮＨＫＥテレ福井,,NHK-E,36872
ＦＢＣテレビ,,FBC,36880
福井テレビ,,FTB,36888
ＮＨＫ総合・富山,,NHK-G,37888
ＮＨＫＥテレ富山,,NHK-E,37896
ＫＮＢ北日本放送,,KNB,37904
ＢＢＴ富山テレビ,,BBT,37912
チューリップテレビ,,TUT,37920
ＮＨＫ総合・津,,NHK-G,38912
三重テレビ,,MTV,38960
ＮＨＫ総合・岐阜,,NHK-G,39936
ぎふチャン,,GBS,39984
ＮＨＫ総合・大阪,,NHK-G,40960
テレビ大阪,,TVO,41008
ＮＨＫ総合・京都,,NHK-G,41984
ＫＢＳ京都,,KBS,42032
ＮＨＫ総合・神戸,,NHK-G,43008
サンテレビ,,SUN,43056
ＮＨＫ総合・和歌山,,NHK-G,44032
テレビ和歌山,,WTV,44080
ＮＨＫ総合・奈良,,NHK-G,45056
奈良テレビ,,TVN,45104
ＮＨＫ総合・大津,,NHK-G,46080
ＢＢＣびわ湖放送,,BBC,46128
ＮＨＫ総合・広島,,NHK-G,47104
ＮＨＫＥテレ広島,,NHK-E,47112
ＲＣＣテレビ,,RCC,47120
広島テレビ,,HTV,47128
広島ホームテレビ,,HOME,47136
ＴＳＳ,,TSS,47144
ＮＨＫ総合・岡山,,NHK-G,48128
ＮＨＫＥテレ岡山,,NHK-E,48136
ＮＨＫ総合・松江,,NHK-G,49152
ＮＨＫＥテレ松江,,NHK-E,49160
ＮＨＫ総合・鳥取,,NHK-G,50176
ＮＨＫＥテレ鳥取,,NHK-E,50184
ＮＨＫ総合・山口,,NHK-G,51200
ＮＨＫＥテレ山口,,NHK-E,51208
ＫＲＹ山口放送,,KRY,51216
ｔｙｓテレビ山口,,TYS,51224
ｙａｂ山口朝日,,YAB,51232
ＮＨＫ総合・松山,,,52224
ＮＨＫＥテレ松山,,NHK-E,52232
南海放送,,RNB,52240
愛媛朝日,,EAT,52248
あいテレビ,,ITV,52256
テレビ愛媛,,EBC,52264
ＮＨＫ総合・高松,,NHK-G,53248
ＮＨＫＥテレ高松,,NHK-E,53256
ＮＨＫ総合・徳島,,NHK-G,54272
ＮＨＫEテレ徳島,,NHK-E,54280
四国放送,,JRT,54288
ＮＨＫ総合・高知,,NHK-G,55296
ＮＨＫＥテレ高知,,NHK-E,55304
高知放送,,RKC,55312
テレビ高知,,KUTV,55320
さんさんテレビ,,KSS,55328
ＮＨＫ総合・福岡,,NHK-G,56320
ＮＨＫ総合・北九州,,NHK-G,56832
ＮＨＫＥテレ福岡,,NHK-E,56328
ＮＨＫＥテレ北九州,,NHK-E,56840
ＫＢＣ九州朝日放送,,KBC,56336
ＲＫＢ毎日放送,,RKB,56344
ＦＢＳ福岡放送,,FBS,56352
ＴＶＱ九州放送,,TVQ,56360
ＴＮＣテレビ西日本,,TNC,56368
ＮＨＫ総合・熊本,,NHK-G,57344
ＮＨＫＥテレ熊本,,NHK-E,57352
ＲＫＫ熊本放送,,RKK,57360
ＴＫＵテレビ熊本,,TKU,57368
ＫＫＴくまもと県民,,KKT,57376
ＫＡＢ熊本朝日放送,,KAB,57384
ＮＨＫ総合・長崎,,NHK-G,58368
ＮＨＫＥテレ長崎,,NHK-E,58376
ＮＢＣ長崎放送,,NBC,58384
ＫＴＮテレビ長崎,,KTN,58392
ＮＣＣ長崎文化放送,,NCC,58400
ＮＩＢ長崎国際テレビ,,NIB,58408
ＮＨＫ総合・鹿児島,,NHK-G,59392
ＮＨＫＥテレ鹿児島,,NHK-E,59400
ＭＢＣ南日本放送,,MBC,59408
ＫＴＳ鹿児島テレビ,,KTS,59416
ＫＫＢ鹿児島放送,,KKB,59424
ＫＹＴ鹿児島読売ＴＶ,,KYT,59432
ＮＨＫ総合・宮崎,,NHK-G,60416
ＮＨＫＥテレ宮崎,,NHK-E,60424
ＭＲＴ宮崎放送,,MRT,60432
ＵＭＫテレビ宮崎,,UMK,60440
ＮＨＫ総合・大分,,NHK-G,61440
ＮＨＫＥテレ大分,,NHK-E,61448
ＯＢＳ大分放送,,OBS,61456
ＴＯＳテレビ大分,,TOS,61464
ＯＡＢ大分朝日放送,,OAB,61472
ＮＨＫ総合・佐賀,,NHK-G,62464
ＮＨＫＥテレ佐賀,,NHK-E,62472
ＳＴＳサガテレビ,,STS,62480
ＮＨＫ総合・沖縄,,NHK-G,63488
ＮＨＫＥテレ沖縄,,NHK-E,63496
ＲＢＣテレビ,,RBC,63504
ＱＡＢ琉球朝日放送,,OAB,63520
沖縄テレビ（ＯＴＶ）,,OTV,63544
